n_goals;win_expectancy;n_goals_probability
0;0.6181785371488797;0.24502250565761322
0;0.3818214628511203;0.3504893342418296
1;0.6181785371488797;0.35192836623589635
1;0.3818214628511203;0.3741130502322909
2;0.6181785371488797;0.24856344233449054
2;0.3818214628511203;0.19556319000937278
3;0.6181785371488796;0.11599828456378145
3;0.3818214628511204;0.0650624318424965
4;0.6181785371488795;0.03848740120821863
4;0.38182146285112045;0.014771993674010407
5;0.6181785371488795;0
5;0.38182146285112045;0
0;0.10555204061731893;0.5861997332858508
0;0.8944479593826811;0.12914037250357016
1;0.10555204061731893;0.32135306491405147
1;0.8944479593826811;0.26885731242487865
2;0.10555204061731882;0.08384940436043402
2;0.8944479593826812;0.2766756822601613
3;0.10555204061731893;0.008597797439663886
3;0.8944479593826811;0.1896473395968786
4;0.10555204061731882;0
4;0.8944479593826812;0.09841594485259926
5;0.10555204061731882;0
5;0.8944479593826812;0.037263348361912245
0;0.7770563885349995;0.18228505719849225
0;0.22294361146500047;0.4487557119220491
1;0.7770563885349995;0.31843836885065413
1;0.22294361146500047;0.36653379030738187
2;0.7770563885349995;0.27311973067168294
2;0.22294361146500047;0.14818416185579678
3;0.7770563885349995;0.15947159666696087
3;0.22294361146500047;0.0365263359147726
4;0.7770563885349996;0.0666852466122102
4;0.22294361146500044;0
5;0.7770563885349996;0
5;0.22294361146500044;0
0;0.46424915081150897;0.3402605801398988
0;0.535750849188491;0.30740290728566044
1;0.46424915081150886;0.37299014781363904
1;0.5357508491884911;0.36892295550187176
2;0.46424915081150886;0.19987429049267066
2;0.5357508491884911;0.21667455300769567
3;0.46424915081150886;0.06979358887604507
3;0.5357508491884911;0.08408842231919174
4;0.46424915081150886;0.017081392677746703
4;0.5357508491884911;0.022911161885580695
5;0.46424915081150897;0
5;0.535750849188491;0
0;0.05475028272712601;0.6421843829497516
0;0.945249717272874;0.08804729812603818
1;0.05475028272712601;0.29473293305211123
1;0.945249717272874;0.21642908146560869
2;0.05475028272712601;0.06308268399813742
2;0.945249717272874;0.2675098599980768
3;0.05475028272712601;0
3;0.945249717272874;0.2238776940533101
4;0.05475028272712612;0
4;0.9452497172728739;0.1393995954658455
5;0.05475028272712612;0
5;0.9452497172728739;0.06473647089112097
0;0.16014977132287633;0.518424440957014
0;0.8398502286771237;0.15908284073841572
1;0.16014977132287644;0.3469262149421793
1;0.8398502286771236;0.2942413842951511
